SSID,BSSID,Location,Owner,Notes
Airtel_ashw_2959,14:A7:2B:D0:EF:16,Lab,Admin Router,Trusted test router
OPPO A16,C2:FF:A7:C5:36:4E,Lab,Student Hotspot,Trusted test hotspot
